year,stratum,value,rank,rank5
2014,Umbria,28.9,10,3
2016,Umbria,26.99,8,2
2020,Umbria,26.58,4,1
2000,Val d’Aosta,22.56,2,1
2002,Val d’Aosta,22.88,2,1
2004,Val d’Aosta,25.77,5,2
2008,Val d’Aosta,15.09,1,1
2010,Val d’Aosta,15.28,1,1
2012,Val d’Aosta,16.76,1,1
2014,Val d’Aosta,27.23,7,2
2016,Val d’Aosta,20.99,1,1
2020,Val d’Aosta,24.42,2,1
2000,Veneto,28.69,11,3
2002,Veneto,26.67,9,3
2004,Veneto,30.81,16,4
2008,Veneto,27.77,10,3
2010,Veneto,27.95,12,3
2012,Veneto,30.38,14,4
2014,Veneto,30,11,3
2016,Veneto,33.34,17,5
2020,Veneto,31.02,14,4
2000,Italia,33.03277382258882,NA,NA
2002,Italia,32.27205929302315,NA,NA
2004,Italia,33.1059981412666,NA,NA
2008,Italia,32.61126798430895,NA,NA
2010,Italia,32.66760183032067,NA,NA
2012,Italia,33.08755142998632,NA,NA
2014,Italia,32.89444363920442,NA,NA
2016,Italia,33.486855133508506,NA,NA
2020,Italia,33.32499405216929,NA,NA
